"id","title","style_code","description","availability","price","brand","product_type","fb_product_category","google_product_category","inventory","item_group_id","pattern","gender","link","image_link","additional_image_link","visibility","colour","size","condition","custom_label_0","custom_label_1","custom_label_2","custom_label_3","custom_label_4","custom_number_0","custom_number_1","custom_number_2","custom_number_3","custom_number_4"
"WP26762","Lamy 367 Studio Rollerball Pen Matte Blue With Chrome Clip","CNFWP0009","<p>Lamy Studio rollerball pen in imperial blue  a beautifullyfinished allmetal design. A contemporary take on the classic cigarshaped barrel design. Highquality lacquer finish and polished chrome fittings. The distinctive propellershaped clip is striking and practical. Liquid ink roller refill, medium black.</p>","Out of stock","7640 INR","Lamy","Rollerball Pens","Writing Instruments","Writing Instruments","","CNFWP0009","solid","-","https://www.williampenn.net/product/lamy-367-studio-rollerball-pen-matte-blue-with-chrome-clip-wp26762","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP09034-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP09034-a.jpg","published","Blue","Free Size","new","WP26762","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP09034-a.jpg","-","-","-","-","-","-","-"
"WP14925","Pelikan Edelstein Cartridge Pack Of 6 Onyx","CNFWP0049","<p>Edelstein is Pelikan's luxury ink collection. Edelstein means gemstone and this ink has jewellike colours, with the cartridges eyecatchingly displayed in a foldopen metal tin. Special recipe ink is designed to flow more smoothly and be gentle and safe for delicate fountain pens.</p><p>Tin of 6 cartridges, each cartridge printed in silver with the Pelikan and Edelstein logos. The international standard format cartridges, suitable for use in many fountain pens.  Ideal forcombining with the Classic P 200 or P 205.</p>","Out of stock","420 INR","Pelikan","Inks & Refills","Writing Instruments","Writing Instruments","","CNFWP0049","solid","-","https://www.williampenn.net/product/pelikan-edelstein-cartridge-pack-of-6-onyx-wp14925","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14925-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14925-a.jpg","published","Onyx","Free Size","new","WP14925","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14925-a.jpg","-","-","-","-","-","-","-"
"WP14926","Pelikan Edelstein Cartridge Pack Of 6 Sapphire","CNFWP0049","<p>Edelstein is Pelikan's luxury ink collection. Edelstein means gemstone and this ink has jewellike colours, with the cartridges eyecatchingly displayed in a foldopen metal tin. Special recipe ink is designed to flow more smoothly and be gentle and safe for delicate fountain pens.</p><p>Tin of 6 cartridges, each cartridge printed in silver with the Pelikan and Edelstein logos. The international standard format cartridges, suitable for use in many fountain pens.  Ideal forcombining with the Classic P 200 or P 205.</p>","Out of stock","420 INR","Pelikan","Inks & Refills","Writing Instruments","Writing Instruments","","CNFWP0049","solid","-","https://www.williampenn.net/product/pelikan-edelstein-cartridge-pack-of-6-sapphire-wp14926","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14926-b.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14926-b.jpg","published","Sapphire","Free Size","new","WP14926","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14926-b.jpg","-","-","-","-","-","-","-"
"WP14932","Pelikan Edelstein Fountain Pen Ink Bottle (50 Ml) Aventurine","CNFWP0042","<p>Edelstein is Pelikan's luxury ink collection. Edelstein means gemstone and this ink has jewellike colours, its a special recipe ink is designed to flow more smoothly and be gentle and safe for delicate fountain pens. The Edelstein ink consists of nine brilliant colors corresponding to famous precious stones from around the world. The prestigious bottles design is reminiscent of a cut diamond, which gives the entire collection an extremely elegant touch.</p>","Out of stock","1200 INR","Pelikan","Inks & Refills","Writing Instruments","Writing Instruments","","CNFWP0042","solid","-","https://www.williampenn.net/product/pelikan-edelstein-fountain-pen-ink-bottle-50-ml-aventurine-wp14932","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14932.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14932.jpg","published","Aventurine","Free Size","new","WP14932","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP14932.jpg","-","-","-","-","-","-","-"
"WP01700","Sailor Professional Gear Realo Fountain Pen (21k Broad) Maroon With Gold Trims","CNFWP0012","<p>The Sailor Pen Company has been working with technology cultivated over 100 years, and with materials and craftsmanship of the past. The world Realo is derived from ""REliance"" And ""LOcus"". The Sailor Pro Gear Realo offers a memorable flattop design with a pistonfilling system and an ink window near the gripping section. This model brings the added ink capacity of a pistonfiller to the already popular series of pens. Six narrow bands (four on the barrel and two on the cap) and the engraved cap band give this pen a style of its own. The Sailor Pro Gear Realo fountain pen arrives in a simple, elegant, satinlined Sailor presentation box.</p><br>","In stock","42840 INR","Sailor","Fountain Pens","Writing Instruments","Writing Instruments","1","CNFWP0012","solid","-","https://www.williampenn.net/product/sailor-professional-gear-realo-fountain-pen-21k-broad-maroon-with-gold-trims-wp01700","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp01700-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp01700-a.jpg","published","Maroon","Broad","new","WP01700","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp01700-a.jpg","-","-","-","-","-","-","-"
"WP01709","Sailor Professional Gear 'king Of Pens' Fountain Pen (21k Broad) Black With Rhodium-plated Trims","CNFWP0025","<p>This King of Pen Pro Gear model combines the heft of the King of Pen size with the flatends of the classic Sailor Pro Gear model. The nib has a slightly springier feel and performance, and is crafted from 21k solid gold. The Sailor Anchor logo adorns the top of the cap. The pen benefits from Sailors excellent cartridgeconverter design, allowing it to be filled with bottled ink (using the provided converter) or with Sailor ink cartridges. The pen is packaged in a brown velvet gift box and comes with starter cartridges.</p><br>","In stock","77760 INR","Sailor","Fountain Pens","Writing Instruments","Writing Instruments","1","CNFWP0025","solid","-","https://www.williampenn.net/product/sailor-professional-gear-king-of-pens-fountain-pen-21k-broad-black-with-rhodium-plated-trims-wp01709","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp01709-a_2.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp01709-a_2.jpg","published","Black","Broad","new","WP01709","50","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp01709-a_2.jpg","-","-","-","-","-","-","-"
"WP30198","Lamy Safari 018 Fountain Pen Fine Yellow With Chrome Plated Clip","CNFWP0001","<p>This is the Lamy Safari  the bestselling collection from Lamy, readily identifiable because of its iconic clip. Classic safari design fountain pen in gloss yellow. Tough ABS plastic, triangular grip area, ink level window and strong chromeplated brass pocket clip. Fountain pen comes fitted with the Z28 converter for bottled ink. A cartridge can also be used. This pen features a steel nib. Also Available with Broad, Extra Fine and Medium Nib</p>","In stock","2760 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","5","CNFWP0001","solid","-","https://www.williampenn.net/product/lamy-safari-018-fountain-pen-fine-yellow-with-chrome-plated-clip-wp30198","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08792-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08792-a.jpg","published","Yellow","Fine","new","WP30198","66","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08792-a.jpg","-","-","-","-","-","-","-"
"WP30187","Lamy Safari 013 Fountain Pen Broad Green With Chrome Plated Clip","CNFWP0001","<p>This is the Lamy Safari  the bestselling collection from Lamy, readily identifiable because of its iconic clip. . Classic safari design fountain pen in gloss green. Tough ABS plastic, triangular grip area, ink level window and strong chromeplated brass pocket clip. Fountain pen comes fitted with the Z28 converter for bottled ink. A cartridge can also be used. This pen features a steel nib. Also Available with Extra Fine, Fine and Medium Nib</p>","Out of stock","2415 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","","CNFWP0001","solid","-","https://www.williampenn.net/product/lamy-safari-013-fountain-pen-broad-green-with-chrome-plated-clip-wp30187","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp16101-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp16101-a.jpg","published","Green","Broad","new","WP30187","50","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp16101-a.jpg","-","-","-","-","-","-","-"
"WP30193","Lamy Safari 014 Fountain Pen Fine Blue With Chrome Plated Clip","CNFWP0001","<p>This is the Lamy Safari  the bestselling collection from Lamy, readily identifiable because of its iconic clip. Classic safari design fountain pen in gloss blue. Tough ABS plastic, triangular grip area, ink level window and strong chromeplated brass pocket clip. Fountain pen comes fitted with the Z28 converter for bottled ink. A cartridge can also be used. This pen features a steel nib. Also Available with Broad, Extra Fine and Medium Nib</p>","Out of stock","2268 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","","CNFWP0001","solid","-","https://www.williampenn.net/product/lamy-safari-014-fountain-pen-fine-blue-with-chrome-plated-clip-wp30193","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08783-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08783-a.jpg","published","Blue","Fine","new","WP30193","33","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08783-a.jpg","-","-","-","-","-","-","-"
"WP26755","Lamy Safari 017 Fountain Pen Fine Matte Black With Black Plated Clip","CNFWP0010","<p>This is the Lamy Safari  the bestselling collection from Lamy, readily identifiable because of its iconic clip. Classic safari design fountain pen in matte black. Tough ABS plastic, triangular grip area, ink level window and strong chromeplated brass pocket clip. Fountain pen with cartridge filling system with blue ink cartridge supplied. polished black steel nib. Use Lamy T10 cartridges, or the optional Lamy Z28 converter available separately, for bottled ink. Also Available with Broad, Extra Fine and Medium Nib</p>","In stock","2760 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","3","CNFWP0010","solid","-","https://www.williampenn.net/product/lamy-safari-017-fountain-pen-fine-matte-black-with-black-plated-clip-wp26755","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp26120-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp26120-a.jpg","published","Matte Black","Fine","new","WP26755","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp26120-a.jpg","-","-","-","-","-","-","-"
"WP30207","Lamy Al-star 028 Fountain Pen Fine Blue Ocean With Chrome Metal Clip","CNFWP0008","<p>The Lamy ALstar is the attractive, young writing instrument which satisfies even the highest requirements. It is made from lightweight, durable aluminium, matt blue anodised. Characteristic Lamy front section in transparent plastic. Flexible clip of polished chrome. Fountain pen comes fitted with the Z28 converter for bottled ink. A cartridge can also be used. This pen features a steel nib. Also Available with Broad, Extra Fine and Medium Nib</p>","In stock","3500 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","1","CNFWP0008","solid","-","https://www.williampenn.net/product/lamy-al-star-028-fountain-pen-fine-blue-ocean-with-chrome-metal-clip-wp30207","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp11276-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp11276-a.jpg","published","Blueocean","Fine","new","WP30207","33","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp11276-a.jpg","-","-","-","-","-","-","-"
"WP30204","Lamy Al-star 026 Fountain Pen Broad Graphite With Chrome Metal Clip","CNFWP0008","<p>The Lamy ALstar is the attractive, young writing instrument which satisfies even the highest requirements. It is made from lightweight, durable aluminium, matt graphite grey anodised. Characteristic Lamy front section in transparent plastic. Flexible clip of polished chrome. Fountain pen comes fitted with the Z28 converter for bottled ink. A cartridge can also be used. This pen features a polished steel nib. Also Available with Extra Fine, Fine and Medium Nib</p>","In stock","4000 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","1","CNFWP0008","solid","-","https://www.williampenn.net/product/lamy-al-star-026-fountain-pen-broad-graphite-with-chrome-metal-clip-wp30204","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08820-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08820-a.jpg","published","Graphite","Broad","new","WP30204","75","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08820-a.jpg","-","-","-","-","-","-","-"
"WP30209","Lamy Al-star 029 Fountain Pen Broad Purple With Chrome Metal Clip","CNFWP0008","<p>The Lamy ALstar is the attractive, young writing instrument which satisfies even the highest requirements. It is made from lightweight, durable aluminium, satin anodised dark purple or black purple. Characteristic Lamy front section in transparent plastic. Flexible clip of polished chrome. Fountain pen comes fitted with the Z28 converter for bottled ink. A cartridge can also be used. This pen features a steel nib. Also Available with Extra Fine, Fine and Medium Nib</p>","Out of stock","3750 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","","CNFWP0008","solid","-","https://www.williampenn.net/product/lamy-al-star-029-fountain-pen-broad-purple-with-chrome-metal-clip-wp30209","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08827-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08827-a.jpg","published","Purple","Broad","new","WP30209","33","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp08827-a.jpg","-","-","-","-","-","-","-"
"WP25743","Lamy 067 Studio Fountain Pen Fine Matte Black With Chrome Clip","CNFWP315204","Lamy Studio fountain pen in Imperial black  a beautifullyfinished allmetal design. A contemporary take on the classic cigarshaped barrel design. Highquality lacquer finish and polished chrome fittings. The distinctive propellershaped clip is striking and practical. Easilyreplaceable polished steel nib. Fit a Lamy Z27 converter for use with bottled ink, or use Lamy T10 cartridges. Also Available with Extra Fine and Medium Nib","In stock","7920 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","1","CNFWP315204","solid","-","https://www.williampenn.net/product/lamy-067-studio-fountain-pen-fine-matte-black-with-chrome-clip-wp25743","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp25745-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp25745-a.jpg","published","Matte Black","Fine","new","WP25743","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp25745-a.jpg","-","-","-","-","-","-","-"
"WP25450","Lamy 067 Studio Fountain Pen Medium Matte Blue With Chrome Clip","CNFWP315204","<p>Lamy Studio fountain pen in Imperial Blue  a beautifullyfinished allmetal design. A contemporary take on the classic cigarshaped barrel design. Highquality lacquer finish and polished chrome fittings. The distinctive propellershaped clip is striking and practical. Easilyreplaceable polished steel nib. Fit a Lamy Z27 converter for use with bottled ink, or use Lamy T10 cartridges. Also Available with Extra Fine and Fine Nib</p>","In stock","7920 INR","Lamy","Fountain Pens","Writing Instruments","Writing Instruments","4","CNFWP315204","solid","-","https://www.williampenn.net/product/lamy-067-studio-fountain-pen-medium-matte-blue-with-chrome-clip-wp25450","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp25450_1.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp25450_1.jpg","published","Blue","Medium","new","WP25450","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp25450_1.jpg","-","-","-","-","-","-","-"
"WP01662","Sailor Professional Gear Slim Fountain Pen (14k Medium) White With Gold Trims","CNFWP0020","<p>This Sailor Professional Gear Slim fountain pen comes in white, with goldplated trim. The screwon cap is embossed with the Sailor Anchor logo, and the capband is inscribed. It is also known as the Pro Gear Slim, or Sapporo and is Sailors bestselling entry level fountain pen. The pen is finished with a 14k gold nib. It comes with a Sailor converter (use with bottled ink) and can also use Sailor ink cartridges.</p><br>","In stock","19125 INR","Sailor","Fountain Pens","Writing Instruments","Writing Instruments","4","CNFWP0020","solid","-","https://www.williampenn.net/product/sailor-professional-gear-slim-fountain-pen-14k-medium-white-with-gold-trims-wp01662","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp01662-a.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp01662-a.jpg","published","White","Medium","new","WP01662","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/cnfwp01662-a.jpg","-","-","-","-","-","-","-"
