name,price,description,category,brand,color,size,material,gender,rating
Combat Boots,3799,Military-style boots for rugged wear and durability,Casual,UrbanStyle,Black,10,Leather,Unisex,4.5
Climbing Shoes,3299,Specialized shoes with sticky rubber for rock climbing,Outdoor,RockMaster,Red,8,Synthetic,Unisex,4.6
Mary Jane Shoes,1799,Classic shoes with a strap across the instep,Casual,ClassicStep,Black,7,Leather,Women,4.1
Water Shoes,1299,Quick-drying shoes for water activities and beach,Outdoor,AquaStep,Blue,9,Neoprene,Unisex,3.9
Clogs,1599,Easy slip-on shoes for comfort and casual wear,Casual,ComfortWalk,Brown,8,Rubber,Unisex,3.8
Track Spikes,2899,Specialized shoes with spikes for track and field events,Athletic,SpeedTrack,Red/White,10,Synthetic,Unisex,4.7
Chelsea Boots,2799,Ankle boots with elastic side panels,Casual,UrbanStyle,Brown,9,Leather,Unisex,4.4
Diabetic Shoes,2999,Specially designed shoes with extra depth for diabetic feet,Medical,HealthStep,Black,9,Leather,Unisex,4.5
Flip Flops,699,Simple thong sandals for beach and casual wear,Casual,SummerStep,Blue,10,Rubber,Unisex,3.7
Orthopedic Shoes,3499,Shoes designed to support foot health and correct posture,Medical,HealthStep,Brown,8,Leather,Unisex,4.4
Gladiator Sandals,1999,Strappy sandals inspired by ancient Roman design,Casual,GlamStep,Tan,7,Synthetic,Women,4.0
Handball Shoes,2599,Indoor court shoes with grip for handball and squash,Athletic,CourtKing,White/Blue,9,Synthetic,Unisex,4.3
Wellington Boots,1899,Tall waterproof rubber boots for outdoor work,Outdoor,RainGuard,Green,10,Rubber,Unisex,4.2
Monk Strap Shoes,2799,Formal shoes with buckle fastening instead of laces,Formal,ClassicStep,Brown,9,Leather,Men,4.5
Ballet Pointe Shoes,3999,Specialized shoes for ballet dancers,Specialty,DanceStep,Pink,6,Satin,Women,4.7
Mountaineering Boots,5999,Heavy-duty boots for high-altitude climbing and mountain expeditions,Outdoor,AlpineMaster,Red/Black,10,Leather/Synthetic,Unisex,4.9
