"id","title","style_code","description","availability","price","brand","product_type","fb_product_category","google_product_category","inventory","item_group_id","pattern","gender","link","image_link","additional_image_link","visibility","colour","size","condition","percentile_availability","sub_group_percentile_availability","age_group","shipping","identifier_exists","custom_label_0","custom_label_1","custom_label_2","custom_label_3","custom_label_4","custom_number_0","custom_number_1","custom_number_2","custom_number_3","custom_number_4"
"I302813","Redford Men Brown Sandals","BOB-4-280224","Redford Men Brown Sandals","In stock","1849 INR","Redford","-","brands","brands","5","BOB-4-280224","solid","male","https://www.popularshoemart.com/product/redford-bob-4-brown-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/BOB-4-BRN-280224-011.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/BOB-4-BRN-280224-011.jpg","published","Brown","41/7","new","83","100","","","","-","-","-","-","-","-","-","-","-","-"
"I304234","Redford Men Green Sandals","CMRY-02-280224","Redford Men Green Sandals","In stock","1699 INR","Redford","-","brands","brands","3","CMRY-02-280224","solid","male","https://www.popularshoemart.com/product/redford-cmry-02-s-green-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/CMRY-02-S.GRN-280224-011.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/CMRY-02-S.GRN-280224-011.jpg","published","Green","41/7","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I238957","Zippers Women V-strap Slippers","PEARL-151223","Step into comfort and style with Zippers Women VStrap Slippers, available in an elegant grey color. These chic chappals for women online are perfect for casual outings or ethnic wear. Crafted with premium materials, they offer a cushioned footbed and a sturdy grip for allday comfort. Shop now and upgrade your wardrobe with the versatile and fashionable Zippers Women VStrap Slippers!","In stock","1049 INR","Zippers","-","new-arrivals","new-arrivals","5","PEARL-151223","solid","female","https://www.popularshoemart.com/product/zippers-pearl-grey-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/PEARL-GREY-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/PEARL-GREY-151223-01.jpg","published","Grey","36/6","new","89","100","","","","-","-","-","-","-","-","-","-","-","-"
"I238795","Zippers Women V-strap Slippers","PEARL-151223","Step into comfort and style with Zippers Women VStrap Slippers, available in an elegant black color. These chic chappals for women online are perfect for casual outings or ethnic wear. Crafted with premium materials, they offer a cushioned footbed and a sturdy grip for allday comfort. Shop now and upgrade your wardrobe with the versatile and fashionable Zippers Women VStrap Slippers!","In stock","1049 INR","Zippers","-","new-arrivals","new-arrivals","7","PEARL-151223","solid","female","https://www.popularshoemart.com/product/zippers-pearl-black-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/PEARL-BLK-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/PEARL-BLK-151223-01.jpg","published","Black","36/6","new","89","100","","","","-","-","-","-","-","-","-","-","-","-"
"I238962","Zippers Women V-strap Slippers","PEARL-151223","Zippers Women VStrap Slippers","In stock","1049 INR","Zippers","-","new-arrivals","new-arrivals","3","PEARL-151223","solid","female","https://www.popularshoemart.com/product/zippers-pearl-dk-grey-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/PEARL-D.GRY-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/PEARL-D.GRY-151223-01.jpg","published","Grey","36/6","new","89","57","","","","-","-","-","-","-","-","-","-","-","-"
"I238790","Zippers Women V-strap Slippers","PEARL-151223","Step into comfort and style with Zippers Women VStrap Slippers, available in an elegant navy color. These chic chappals for women online are perfect for casual outings or ethnic wear. Crafted with premium materials, they offer a cushioned footbed and a sturdy grip for allday comfort. Shop now and upgrade your wardrobe with the versatile and fashionable Zippers Women VStrap Slippers!","In stock","1049 INR","Zippers","-","new-arrivals","new-arrivals","7","PEARL-151223","solid","female","https://www.popularshoemart.com/product/zippers-pearl-navy-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/PEARL-NVY-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/PEARL-NVY-151223-01.jpg","published","Navy","36/6","new","89","100","","","","-","-","-","-","-","-","-","-","-","-"
"I231847","Zippers Women V-strap Slippers","AMELIYA-151223","Step into comfort and style with Zippers Ameliya Women VStrap Slippers, available in an elegant navy color. These chic chappals for women online are perfect for casual outings or ethnic wear. Crafted with premium materials, they offer a cushioned footbed and a sturdy grip for allday comfort. Shop now and upgrade your wardrobe with the versatile and fashionable Zippers Ameliya Women VStrap Slippers!","In stock","999 INR","Zippers","-","new-arrivals","new-arrivals","5","AMELIYA-151223","solid","female","https://www.popularshoemart.com/product/zippers-ameliya-navy-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/AMELIYA-NVY-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/AMELIYA-NVY-151223-01.jpg","published","Navy","36/6","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I232604","Zippers Women V-strap Slippers","AMELIYA-151223","Step into comfort and style with Zippers Ameliya Women VStrap Slippers, available in an elegant grey purple color. These chic chappals for women online are perfect for casual outings or ethnic wear. Crafted with premium materials, they offer a cushioned footbed and a sturdy grip for allday comfort. Shop now and upgrade your wardrobe with the versatile and fashionable Zippers Ameliya Women VStrap Slippers!","In stock","999 INR","Zippers","-","new-arrivals","new-arrivals","7","AMELIYA-151223","solid","female","https://www.popularshoemart.com/product/zippers-ameliya-gry-prpl-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/AMELIYA-GRY-PRPL-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/AMELIYA-GRY-PRPL-151223-01.jpg","published","Purple","36/6","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I232610","Zippers Women V-strap Slippers","AMELIYA-151223","Step into comfort and style with Zippers Ameliya Women VStrap Slippers, available in an elegant grey color. These chic chappals for women online are perfect for casual outings or ethnic wear. Crafted with premium materials, they offer a cushioned footbed and a sturdy grip for allday comfort. Shop now and upgrade your wardrobe with the versatile and fashionable Zippers Ameliya Women VStrap Slippers!","In stock","999 INR","Zippers","-","new-arrivals","new-arrivals","7","AMELIYA-151223","solid","female","https://www.popularshoemart.com/product/zippers-ameliya-grey-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/AMELIYA-GRY-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/AMELIYA-GRY-151223-01.jpg","published","Grey","36/6","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I294033","Zippers Women V-strap Slippers","MAGGIE-151223","Zippers Women VStrap Slippers","In stock","999 INR","Zippers","-","new-arrivals","new-arrivals","4","MAGGIE-151223","solid","female","https://www.popularshoemart.com/product/zippers-maggie-grey-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/MAGGIE-GRY-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/MAGGIE-GRY-151223-01.jpg","published","Grey","36/6","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I232622","Zippers Women V-strap Slippers","MAGGIE-151223","Zippers Women VStrap Slippers","In stock","999 INR","Zippers","-","new-arrivals","new-arrivals","4","MAGGIE-151223","solid","female","https://www.popularshoemart.com/product/zippers-maggie-navy-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/MAGGIE-NVY-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/MAGGIE-NVY-151223-01.jpg","published","Navy","36/6","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I232616","Zippers Women V-strap Slippers","MAGGIE-151223","Zippers Women VStrap Slippers","In stock","999 INR","Zippers","-","new-arrivals","new-arrivals","2","MAGGIE-151223","solid","female","https://www.popularshoemart.com/product/zippers-maggie-purple-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/MAGGIE-PRPL-151223-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/MAGGIE-PRPL-151223-01.jpg","published","Purple","36/6","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I279836","Abros Men Sports Shoes","ASSG-1266-271123","Abros Men Sports Shoes","In stock","1299 INR","Abros","-","men","men","1","ASSG-1266-271123","solid","male","https://www.popularshoemart.com/product/abros-assg-1266-d-gry-red-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/ASSG-1266-D.GRY-RED-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/ASSG-1266-D.GRY-RED-271123-01.jpg","","Grey","42/8","new","75","75","","","","-","-","-","-","-","-","-","-","-","-"
"I269991","Abros Men Sports Shoes","ASSG-1130-271123","Abros Men Sports Shoes","In stock","1799 INR","Abros","-","men","men","1","ASSG-1130-271123","solid","male","https://www.popularshoemart.com/product/abros-assg-1130-gry-red-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/ASSG-1130-GRY-RED-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/ASSG-1130-GRY-RED-271123-01.jpg","","Grey","42/8","new","12","25","","","","-","-","-","-","-","-","-","-","-","-"
"I251575","Abros Men Sports Shoes","ASSG-1112-271123","Abros Men Sports Shoes","In stock","1119 INR","Abros","-","men","men","1","ASSG-1112-271123","solid","male","https://www.popularshoemart.com/product/abros-assg-1112-nvy-mstd-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/ASSG-1112-NVY-MSD-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/ASSG-1112-NVY-MSD-271123-01.jpg","","Navy","41/7","new","10","16","","","","-","-","-","-","-","-","-","-","-","-"
"I292349","Abros Men Casual Shoes","ALSG-8006-271123","Abros Men Casual Shoes","In stock","1699 INR","Abros","-","men","men","2","ALSG-8006-271123","solid","male","https://www.popularshoemart.com/product/abros-alsg-8006-wht-nvy-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/ALSG-8006-WHT-NVY-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/ALSG-8006-WHT-NVY-271123-01.jpg","","White","42/8","new","25","25","","","","-","-","-","-","-","-","-","-","-","-"
"I301905","Hooves Women Open-toe Flats","55-553-271123","Hooves Women OpenToe Flats","In stock","849 INR","Hooves","-","new-arrivals","new-arrivals","2","55-553-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-553-pink-11","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-553-PINK-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-553-PINK-271123-01.jpg","","Pink","41/11","new","28","100","","","","-","-","-","-","-","-","-","-","-","-"
"I301859","Hooves Women Open-toe Flats","55-483-271123","Hooves Women OpenToe Flats","In stock","799 INR","Hooves","-","new-arrivals","new-arrivals","2","55-483-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-483-black-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-483-BLK-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-483-BLK-271123-01.jpg","","Black","37/7","new","85","100","","","","-","-","-","-","-","-","-","-","-","-"
"I285511","Hooves Women Embellished Flats","55-450-271123","Hooves Women Embellished Flats","In stock","1099 INR","Hooves","-","new-arrivals","new-arrivals","1","55-450-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-450-pink-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-450-PINK-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-450-PINK-271123-01.jpg","","Pink","38/8","new","28","100","","","","-","-","-","-","-","-","-","-","-","-"
"I301810","Hooves Women Embellished Slippers","55-499-271123","Hooves Women Embellished Slippers","In stock","1119 INR","Hooves","-","new-arrivals","new-arrivals","2","55-499-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-499-black-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-499-BLK-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-499-BLK-271123-01.jpg","","Black","37/7","new","35","100","","","","-","-","-","-","-","-","-","-","-","-"
"I301845","Hooves Women Brown Slippers","55-493-271123","Hooves Women Brown Slippers","In stock","1119 INR","Hooves","-","new-arrivals","new-arrivals","2","55-493-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-493-brown-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-493-BRN-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-493-BRN-271123-01.jpg","","Brown","37/7","new","85","100","","","","-","-","-","-","-","-","-","-","-","-"
"I301896","Hooves Women Open Toe Wedges","55-419-271123","Hooves Women Open Toe Wedges","In stock","799 INR","Hooves","-","new-arrivals","new-arrivals","3","55-419-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-419-tan-9","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-419-TAN-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-419-TAN-271123-01.jpg","","Tan","39/9","new","57","100","","","","-","-","-","-","-","-","-","-","-","-"
"I301832","Hooves Women Open Toe Wedges","55-502-271123","Hooves Women Open Toe Wedges","In stock","999 INR","Hooves","-","new-arrivals","new-arrivals","1","55-502-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-502-pink-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-502-PINK-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-502-PINK-271123-01.jpg","","Pink","38/8","new","28","100","","","","-","-","-","-","-","-","-","-","-","-"
"I301915","Hooves Women Tan Slippers","55-539-271123","Hooves Women Tan Slippers","In stock","1119 INR","Hooves","-","new-arrivals","new-arrivals","4","55-539-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-539-tan-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-539-TAN-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-539-TAN-271123-01.jpg","","Tan","37/7","new","85","100","","","","-","-","-","-","-","-","-","-","-","-"
"I261412","Hooves Women Embellished Flats","55-55-271123","Hooves Women Embellished Flats","In stock","899 INR","Hooves","-","new-arrivals","new-arrivals","1","55-55-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-55-grey-12","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-55-GREY-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-55-GREY-271123-01.jpg","","Grey","42/12","new","16","100","","","","-","-","-","-","-","-","-","-","-","-"
"I186699","Hooves Women Embellished Wedges","55-10-271123","Hooves Women Embellished Wedges","In stock","929 INR","Hooves","-","new-arrivals","new-arrivals","2","55-10-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-10-black-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-10-BLK-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-10-BLK-271123-01.jpg","","Black","38/8","new","28","100","","","","-","-","-","-","-","-","-","-","-","-"
"I224600","Hooves Women Open-toe Flats","55-96-271123","Hooves Women OpenToe Flats","In stock","829 INR","Hooves","-","new-arrivals","new-arrivals","1","55-96-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-96-fuchsia-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-96-FUCH-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-96-FUCH-271123-01.jpg","","Fuchsia","38/8","new","41","100","","","","-","-","-","-","-","-","-","-","-","-"
"I301891","Hooves Women Open-toe Flats","55-96-271123","Hooves Women OpenToe Flats","In stock","829 INR","Hooves","-","new-arrivals","new-arrivals","2","55-96-271123","solid","female","https://www.popularshoemart.com/product/hooves-55-96-black-11","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-96-BLK-271123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/55-96-BLK-271123-01.jpg","","Black","41/11","new","41","100","","","","-","-","-","-","-","-","-","-","-","-"
